[시각 참고 자료]
화면명,설명,이미지 링크
앨범 커버 화면,음악 재생 화면에서 앨범 커버가 표시되는 위치,(Google Drive 공유 링크 입력)
프로필 이미지 화면,메인 화면 상단에 프로필 이미지가 표시되는 위치,(Google Drive 공유 링크 입력)
포토카드 수집 화면,일반 테마 포토카드 수집 화면,(Google Drive 공유 링크 입력)
엠블럼 화면,그룹 소개 화면에 엠블럼이 표시되는 위치,(Google Drive 공유 링크 입력)

[신규 앨범 업데이트] 일감 기본 정보
구분,내용
앨범 코드,(입력 필요)
일감 구분,TAEYANG - 기타 신규 앨범 업데이트
아티스트 이름,TAEYANG
멤버,(솔로 아티스트)
앨범 구분,Quintessence
앨범 발매일,미정
엠블럼 이미지 경로,(입력 필요)
원본 리소스 경로,(입력 필요)
제작 리소스 저장 경로,(입력 필요)
이미지 제작 시 참고 사항,-

[리소스 제작 체크리스트]
리소스 구분,구분,사이즈,파일명,용도 설명,작업 완료,비고
데모테스트리소스,-,(미정),Image_{code},데모테스트리소스 - 게임 내 사용 위치 설명 필요,FALSE,
테스트 컨셉아트,-,(미정),Image_{code},테스트 컨셉아트 - 게임 내 사용 위치 설명 필요,FALSE,
