타깃,목적,상황,구매 요인,트리거,상품,가격대,구매 시간 제한 여부,비고
신규 유저,PUR↑,인벤토리 부족(최초),결핍,"1. 인벤토리 확장 팝업에서 상품 출력
2. 인벤토리 확장 시 구매 불가 노티 필요",인벤토리 100슬롯 확장(밸런스 확인 필요),"₩1,500",구매 시간 제한,결제의 당위성 제공을 통한 첫 결제 유도
신규 유저,PUR↑,"최애 아티스트의 한정 포토카드
세트 완성까지 1개 부족(최초)",결핍,"1. 유저의 신규 유저 여부 확인
2. 인벤토리 진입
3. 유저가 장착중인 포토카드 확인
4. 1개 슬롯을 제외한 모든 포토카드가 동일 세트의 한정 포토카드일 경우 출력
(장착 포토카드가 변경될 때마다 다시 체크)","해당 세트의 포토카드 선택권
(B등급)","₩3,000",구매 시간 제한,결제의 당위성 제공을 통한 첫 결제 유도
신규 유저,PUR↑,가챠 재화 부족(최초),결핍,"1. 가챠 뷰 진입, 가챠 1회 이상 진행
2. 가챠에 필요한 재화가 n 이하이면서, 픽업 대상 포토카드를 모두 획득하지 못했을 경우 출력 ",대상 픽업 이벤트 패스 (할인 적용),패스 가격의 50% 할인,구매 시간 제한,유저 락인 목적
신규 유저,PUR↑,앨범 리그 라이벌 추월 실패(최초),실패,"로딩 화면에 지목된 앨범 리그 라이벌 유저를 플레이 3회 연속 추월하지 못한 경우
결과 플로우 후 CRM 출력",성장 재화 패키지(경험치+리듬 포인트),"₩3,000",구매 시간 제한,결제가 순위 상승으로 연결되는 경험 학습
Streak,ARPPU↑,앨범 리그 라이벌 추월 실패(반복),실패,위와 동일,성장 재화 패키지(스타코인 + 경험치),"₩29,000",구매 시간 제한,학습된 유저를 고과금 상품으로 연계
신규 유저,PUR↑,(월정액 락-인)신규 유저,결핍,(월정액이 있다는 가정)신규 유저일 경우 로비 진입 시 n일간 출력,월정액권,월정액 가격의 50% 할인,구매 시간 제한,유저 락인 목적
신규 유저,PUR↑,(패스 락-인)신규 유저+월정액권 구매,결핍,신규 유저이고 월정액권을 구매한 유저 로비 진입 시 n일간 출력,시즌 패스,패스 가격의 50% 할인,구매 시간 제한,유저 락인 목적
Streak,ARPPU↑,콜렉션 레벨업 도달 직전,결핍,"1. 콜렉션 뷰 진입, 대상 앨범의 콜렉션 경험치 획득 
2. 위 앨범의 레벨이 n 이상이고, 레벨업까지 경험치 n이하로 필요할 경우
3. 인벤토리 및 게임 준비 화면으로 이동 시 상품 출력 ","해당 앨범의 포토카드팩 or
배경 조각 패키지","₩12,000",구매 시간 제한,
Streak,ARPPU↑,가챠 동일 픽업 카드 3개 획득,실패,"특정 픽업 가챠 기간 중, 동일한 R등급 포토카드를 3개 획득 시 출력
(천장에 중복 방지가 없다는 가정하에 적용)",뽑기권 10개,기존 가치의 50%,구매 시간 제한,"화가 나서 살 것 같음, 위로 목적?"
Streak,ARPPU↑,앨범 그룹 리그 보상권 이탈,실패,"1. 앨범 리그 결산 후 보상 연출 확인
2. 참여한 앨범 중 11위 이하인 앨범이 1개 이상 있고, 모든 앨범에서 3위 이상의 앨범이 없을 경우
3. 연출 직후 상품 출력",성장 재화 패키지,"₩29,000",구매 시간 제한,
