ID,아티스트,앨범,카테고리,리소스 타입,사이즈,상태,우선순위,아트 담당자,기획 담당자,완성도,누락 항목,다음 액션
1,TAEYANG,Quintessence,신규 앨범 업데이트,일반 테마 포토카드 초상,380x512,pending,high,-,고용회,85%,아트 담당자,🟡 권장: 아트 담당자 입력
2,TAEYANG,Quintessence,신규 앨범 업데이트,엠블럼 이미지,280x40,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
3,TAEYANG,Quintessence,신규 앨범 업데이트,프로필 이미지,128x128,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
4,TAEYANG,Quintessence,신규 앨범 업데이트,앨범 커버 이미지,512x512,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
5,TAEYANG,Quintessence,신규 앨범 업데이트,배경 이미지,1280x1280,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
6,JEON SOMI,Chaotic & Confused,신규 앨범 업데이트,일반 테마 포토카드 초상,380x512,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
7,JEON SOMI,Chaotic & Confused,신규 앨범 업데이트,엠블럼 이미지,280x40,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
8,JEON SOMI,Chaotic & Confused,신규 앨범 업데이트,프로필 이미지,128x128,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
9,JEON SOMI,Chaotic & Confused,신규 앨범 업데이트,앨범 커버 이미지,512x512,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
10,JEON SOMI,Chaotic & Confused,신규 앨범 업데이트,배경 이미지,1280x1280,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
11,MEOVV,BURNING UP,신규 앨범 업데이트,일반 테마 포토카드 초상,380x512,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
12,MEOVV,BURNING UP,신규 앨범 업데이트,엠블럼 이미지,280x40,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
13,MEOVV,BURNING UP,신규 앨범 업데이트,프로필 이미지,128x128,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
14,MEOVV,BURNING UP,신규 앨범 업데이트,앨범 커버 이미지,512x512,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
15,MEOVV,BURNING UP,신규 앨범 업데이트,배경 이미지,1280x1280,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
16,ADP,ALLDAY PROJECT,신규 앨범 업데이트,일반 테마 포토카드 초상,380x512,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
17,ADP,ALLDAY PROJECT,신규 앨범 업데이트,엠블럼 이미지,280x40,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
18,ADP,ALLDAY PROJECT,신규 앨범 업데이트,프로필 이미지,128x128,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
19,ADP,ALLDAY PROJECT,신규 앨범 업데이트,앨범 커버 이미지,512x512,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
20,ADP,ALLDAY PROJECT,신규 앨범 업데이트,배경 이미지,1280x1280,pending,high,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
21,TAEYANG,Quintessence,한정 테마 포토카드 업데이트,한정 테마 포토카드 초상,380x512,pending,medium,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
22,TAEYANG,Quintessence,한정 테마 포토카드 업데이트,프로필 이미지,128x128,pending,medium,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
23,TAEYANG,Quintessence,한정 테마 포토카드 업데이트,한정 테마 포토카드 프레임 (라지),380x512,pending,medium,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
24,TAEYANG,Quintessence,한정 테마 포토카드 업데이트,한정 테마 포토카드 프레임 (스몰),TBD,pending,medium,-,-,57%,"이미지 너비, 이미지 높이, 아트 담당자","🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
25,TAEYANG,Quintessence,한정 테마 포토카드 업데이트,배경 이미지,1280x1280,pending,medium,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
26,JEON SOMI,Chaotic & Confused,한정 테마 포토카드 업데이트,한정 테마 포토카드 초상,380x512,pending,medium,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
27,JEON SOMI,Chaotic & Confused,한정 테마 포토카드 업데이트,프로필 이미지,128x128,pending,medium,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
28,JEON SOMI,Chaotic & Confused,한정 테마 포토카드 업데이트,한정 테마 포토카드 프레임 (라지),380x512,pending,medium,-,-,85%,아트 담당자,🟡 권장: 아트 담당자 입력
29,JEON SOMI,Chaotic & Confused,한정 테마 포토카드 업데이트,한정 테마 포토카드 프레임 (스몰),TBD,pending,medium,-,-,57%,"이미지 너비, 이미지 높이, 아트 담당자","🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
